pre_root_id,post_root_id,weight
10444,800340,359
10444,800345,344
17198,800977,328
17198,903604,306
513052,800373,289
10160,800135,289
10444,800318,263
10038,800596,252
800099,800977,251
10895,903819,248
17198,800081,248
555457,800345,242
10045,800716,236
800099,902667,233
10885,801246,222
10141,800373,221
10030,800622,220
10056,800434,220
13759,905217,219
17198,800434,218
17198,800256,213
10030,800373,210
15705,800135,209
17198,903366,205
13130,800977,204
11575,800089,203
10124,800345,202
12089,801576,202
10544,801214,201
10030,800461,196
923203,802016,194
10482,801214,194
521445,802335,193
10038,800687,192
10160,801171,191
10216,800162,189
555457,801296,188
10885,800461,187
10218,801246,185
10535,800687,185
12224,911639,184
10177,801235,184
10440,902504,184
10668,800596,183
800099,903366,183
10853,800879,182
13030,800622,182
10444,800716,181
15821,903819,180
10506,800461,180
10301,800716,177
256420,800296,177
10045,902504,175
13652,800565,174
11575,800837,173
17198,902667,173
153028,800072,173
256420,800434,172
800099,801728,172
10048,800373,171
10218,800430,171
524225,800976,170
10056,800685,170
10444,902520,169
11881,801214,169
10221,800207,168
29086,801246,167
10056,801235,167
17198,800296,166
256420,800685,163
10482,814625,163
11575,800296,162
10589,801823,162
25985,800211,160
10056,800296,160
10131,800135,159
519460,905415,158
10247,802046,158
523769,800511,156
10090,800073,156
13030,800461,156
10177,934752,155
10301,800896,154
62405,802046,154
12306,904800,153
11127,800022,153
153028,929612,153
11078,802046,152
10056,801804,151
12447,800622,151
513052,800002,151
10543,800149,151
10360,800687,150
10038,801214,150
10895,801478,148
512006,805191,148
10895,801116,148
25985,902520,147
523769,800461,147
555457,802025,147
15720,800596,147
11657,802016,146
10813,802180,146
10247,903819,145
17198,800072,145
11527,800286,145
10713,800002,144
10853,800583,141
12102,801320,140
10444,801296,140
13633,800977,140
800099,801149,139
10177,805061,138
230783,800286,138
10444,800211,138
10280,904036,138
11598,801214,138
11797,801478,137
10281,903604,137
153028,800286,137
10141,802951,137
11063,801791,137
10056,801050,135
10218,800461,135
13030,905415,134
12266,800977,134
10482,800687,134
10967,800156,134
11006,800119,134
10444,800896,133
10118,800373,133
522961,904036,131
10717,800296,130
10048,800461,130
10274,800340,129
11881,800687,129
17198,800286,129
10763,801246,129
13759,902668,129
29086,800461,128
11598,801676,128
10124,801296,127
521445,801106,127
230783,800685,126
10280,802751,126
11881,801752,126
11074,801312,125
10967,801378,125
10038,801752,124
13130,902667,124
12189,800072,124
10440,804875,124
11575,800434,124
10444,800879,123
10030,905415,123
11881,800596,122
10587,904707,122
10030,801246,122
10544,800687,122
13759,800239,122
12378,802046,121
10218,800259,121
10213,800018,121
523769,905415,121
10030,801598,121
10045,800896,121
11288,801214,121
13130,903366,121
12512,800069,121
17198,929612,120
10589,802377,120
11575,801728,120
10197,800373,120
10416,800631,120
11063,802013,119
10104,800147,119
11575,800233,118
555457,801429,118
13218,800837,117
10221,800638,117
10506,800141,117
521445,800816,117
11332,801246,117
521377,904587,117
29086,801598,117
10280,802944,117
10026,801752,117
13570,800106,117
10177,801804,117
525454,800089,116
11332,802951,116
15705,800236,115
10247,800687,115
10853,800716,115
10131,800188,115
10274,800318,115
10440,801638,115
11575,800162,115
12038,800162,114
11411,800461,114
10247,802324,113
10247,800716,113
92936,800432,113
10668,800687,113
12102,800354,112
13570,801002,112
10575,800846,112
17198,800089,112
14271,905415,111
13130,801728,111
15720,800687,111
10090,800147,111
12447,800461,110
12102,800398,110
800868,801478,110
522969,904800,109
11411,902796,109
11411,801246,109
29086,800622,109
10360,800149,109
506334,802951,109
10668,800149,109
16746,800263,108
11704,800383,108
10048,801598,108
521445,800387,108
10760,801371,107
11513,904036,107
10247,902504,107
